fire_name,fire_size,fire_size_class,Cause,latitude,longitude,state,discovery_month,putout_time,discovery_year,Vegetation,fire_mag,Temp_cont,Wind_cont,Hum_cont,remoteness
WNA  1,1,B,Debris Burning,39.6414,-119.3083,NV,Jun,0,2005,0,0.1,0,0,0,0.487447455
CRAZY,1,B,Miscellaneous,48.8394,-99.7185,ND,Apr,0,2004,15,0.1,0,0,0,0.291682627
STO3573155,2,B,Debris Burning,35.7189,-92.335,AR,Jan,0,2013,15,0.1,0,0,0,0.227269734
AXE RONDEAU,1.2,B,Debris Burning,48.833,-99.7836,ND,Apr,0,2007,15,0.1,0,0,0,0.292302716
FY2001-EARLY-021,30.18,C,Debris Burning,31.259,-84.8956,GA,Oct,0,2000,12,1,0,0,0,0.16241594
LUCKY,1420,F,Lightning,33.2418,-104.9122,NM,Jul,1,1994,16,50,36.24117647,4.217647059,17.05882353,0.347990707
MARBLE HEAD,5,B,Lightning,40.8347,-112.8064,UT,Aug,1,2006,15,0.1,-1,-1,-1,0.421384117
HIGHWAY 30 FIRE,2,B,Debris Burning,37.34421,-83.92352,KY,Mar,0,2011,0,0.1,-1,-1,-1,0.149746159
LAUREL BRANCH,55,C,Debris Burning,37.46458863,-81.49122444,WV,Apr,0,2014,0,1,0,0,0,0.127991883
AGERT,3.2,B,Equipment Use,43.85158,-108.19147,WY,Jul,0,2010,9,0.1,0,0,0,0.374651711
LED BETTER BARN,15.3,C,Equipment Use,36.5865,-96.32322,OK,Dec,1,2015,0,1,5.258333333,3.558333333,71.5,0.263942762
CALDERWOOD,270,D,Arson,35.47333333,-84.45,TN,Oct,1,1999,15,3,16.43103448,0.982758621,67.05,0.155543155
DEVIL'S,57,C,Arson,36.81666667,-82.65166667,VA,Apr,2,1995,0,1,13.00208333,1.95,37.85416667,0.138669868
SPRING GULCH,1.5,B,Lightning,39.205,-105.1883333,CO,Jul,1,1996,0,0.1,0,0,0,0.347202749
RAMP,450,E,Equipment Use,34.33,-117.5130556,CA,Jul,1,2006,16,10,33.9,2.2375,39.375,0.472150203
BIRCH,2.5,B,Lightning,42.36444444,-112.2322222,ID,Jul,1,2006,9,0.1,-1,-1,-1,0.415065109
TELEPHONE CANYON,18,C,Missing/Undefined,41.51085,-109.50637,WY,Jun,3,2012,15,1,14.97260274,7.779452055,28,0.388408431
LIL CARIBO,108,D,Lightning,63.8517,-150.3543,AK,Jul,26,1997,0,3,0,0,0,0.819726653
FY2014-TOOMBS-030,13.65,C,Debris Burning,32.28853889,-82.40083333,GA,Mar,0,2014,12,1,0,0,0,0.139329817
SWEETBAY 1,1,B,Miscellaneous,25.334719,-80.805556,FL,Apr,0,1992,12,0.1,0,0,0,0.131003293
RL278,20,C,Miscellaneous,47.8666,-94.9169,MN,Apr,0,2000,15,1,0,0,0,0.246574558
FY2015-LAURENS-107,4,B,Debris Burning,32.25136667,-82.91357222,GA,Jan,0,2015,12,0.1,0,0,0,0.143927842
TAYLOR FURY (54),1,B,Debris Burning,29.4794,-81.584,FL,Feb,0,2015,12,0.1,-1,-1,-1,0.134221565
FY2011-HARRIS-024,9.94,B,Debris Burning,32.78947346,-84.84721729,GA,Feb,0,2011,12,0.1,0,0,0,0.160867452
HAMMER CREEK,26,C,Campfire,45.76867435,-116.3321016,ID,Aug,0,2012,15,1,0,0,0,0.455089149
FY2001-DADE-041,3.4,B,Arson,34.9102,-85.4287,GA,Mar,0,2001,16,0.1,0,0,0,0.164694062
WABANA POWERLINE,2,B,Equipment Use,47.41333333,-94.49,MN,Mar,0,1998,15,0.1,0,0,0,0.242672334
FY2012-COWETA-020,5.2,B,Miscellaneous,33.42630321,-84.9252261,GA,Apr,0,2012,16,0.1,0,0,0,0.161129766
EIGHT MILE,2,B,Campfire,37.1575,-107.0202778,CO,Sep,3,2008,0,0.1,6.038216561,6.91910828,53.36305732,0.366082682
OLD ELK,1,B,Structure,45.5639,-107.4868,MT,Oct,0,1995,15,0.1,0,0,0,0.367262058
BALL,3,B,Lightning,36.0602,-118.0965,CA,Jul,2,2003,0,0.1,34.5,4.572222222,0,0.476999184
